,0
2022-06-09,783025.38
2022-06-08,631781.76
2022-06-07,630991.54
2022-06-06,579524.83
2022-06-05,579524.83
2022-06-04,579524.83
2022-06-03,598438.4
2022-06-02,537381.58
2022-06-01,536386.79
2022-05-31,530438.65
2022-05-30,525201.44
2022-05-29,525201.44
2022-05-28,525201.44
2022-05-27,512528.59
2022-05-26,637961.33
2022-05-25,512938.61
2022-05-24,508143.26
2022-05-23,507006.32
2022-05-22,507006.32
2022-05-21,507006.32
2022-05-20,603465.69
2022-05-19,498933.6
2022-05-18,811994.24
2022-05-17,895366.43
2022-05-16,1140216.41
2022-05-13,1088935.7
2022-05-12,983511.3
2022-05-11,982018.85
2022-05-06,676699.51
2022-05-05,2134471.57
2022-05-04,458761.85
2022-04-29,480603.98
2022-04-28,451570.77
2022-04-27,610984.11
2022-04-26,437386.38
2022-04-25,415067.21
2022-04-22,410214.67
2022-04-21,414961.53
2022-04-20,713864.21
2022-04-19,696804.38
2022-04-18,612844.96
2022-04-15,533898.94
2022-04-14,480956.04
2022-04-13,1646743.54
2022-04-12,1455932.95
2022-04-11,453778.46
2022-04-10,453778.46
2022-04-09,453778.46
2022-04-08,455005.82
2022-04-07,451237.51
2022-04-06,571602.96
2022-04-05,449988.52
2022-04-04,449061.31
2022-04-01,398669.28
2022-03-31,352406.45
2022-03-30,340821.77
2022-03-29,387013.09
2022-03-28,330454.41
2022-03-25,326605.85
2022-03-24,324403.42
2022-03-23,330495.77
2022-03-22,336328.02
2022-03-21,333774.47
2022-03-18,328739.49
2022-03-17,593786.27
2022-03-16,825037.77
2022-03-15,1488175.38
2022-03-14,1711213.81
2022-03-11,1889714.21
2022-03-10,2859723.66
2022-03-09,3211139.61
2022-03-07,3156139.61
2022-03-06,3156139.61
2022-03-05,2854454.81
2022-03-04,3428663.69
2022-03-03,5168945.25
2022-03-02,5163866.2
2022-03-01,4507664.15
2022-02-28,3475931.68
2022-02-25,1677599.33
2022-02-24,1239654.23
2022-02-22,1035350.36
2022-02-21,985186.45
2022-02-18,1025251.19
2022-02-17,1045237.89
2022-02-16,995205.68
2022-02-15,1259894.02
2022-02-14,1324849.66
2022-02-11,1248920.78
2022-02-10,1574893.56
2022-02-09,1399847.3
2022-02-08,1167936.33
2022-02-07,1095608.54
2022-02-04,1320055.61
2022-02-03,1165303.33
2022-02-02,1159062.71
2022-02-01,1029570.33
2022-01-31,1170495.15
2022-01-28,1080800.26
2022-01-27,1450848.41
2022-01-26,1261470.4
2022-01-25,1086580.53
2022-01-24,985941.55
2022-01-21,971887.59
2022-01-20,1021790.68
2022-01-19,1171870.09
2022-01-18,1136645.23
2022-01-17,993894.07
2022-01-14,1187456.0
2022-01-13,1243023.04
2022-01-12,1418288.68
2022-01-11,1468561.63
2022-01-10,1083759.3
2022-01-06,993759.3
2022-01-05,993759.3
2022-01-04,993759.3
2022-01-03,993759.3
2021-12-31,998843.09
2021-12-30,1194871.14
2021-12-29,1231461.89
2021-12-28,1428717.92
2021-12-27,1518474.19
2021-12-24,1117930.6
2021-12-23,1286849.24
2021-12-22,1131536.34
2021-12-21,1161371.18
2021-12-20,1076243.98
2021-12-17,1120706.0
2021-12-16,986037.01
2021-12-15,1114975.32
2021-12-14,1005217.33
2021-12-13,835173.98
2021-12-10,845168.86
2021-12-09,745207.75
2021-12-08,771050.09
2021-12-07,865373.44
2021-12-06,1055061.71
2021-12-03,1230361.27
2021-12-02,1170185.51
2021-12-01,1035111.51
2021-11-30,1006577.19
2021-11-29,836376.75
2021-11-26,987144.3
2021-11-25,807323.27
2021-11-24,787670.7
2021-11-23,732726.03
2021-11-22,710469.14
2021-11-19,645099.78
2021-11-18,575237.37
2021-11-17,630183.07
2021-11-16,435009.13
2021-11-15,454963.06
2021-11-12,529432.63
2021-11-11,629470.2
2021-11-10,768418.04
2021-11-09,1139842.07
2021-11-08,1053982.32
2021-11-05,1053982.32
2021-11-03,503370.47
